ticker_symbol,month,counts
GOOG,2017-03,4134
GOOG,2017-04,3959
GOOG,2017-05,4233
GOOG,2017-06,4749
GOOG,2017-07,4741
GOOG,2017-08,4039
GOOG,2017-09,3784
GOOG,2017-10,4884
GOOG,2017-11,4116
GOOG,2017-12,3472
GOOG,2018-01,4033
GOOG,2018-02,3973
GOOG,2018-03,4771
GOOG,2018-04,4563
GOOG,2018-05,3401
GOOG,2018-06,3543
GOOG,2018-07,4251
GOOG,2018-08,3796
GOOG,2018-09,3117
GOOG,2018-10,4480
GOOG,2018-11,3287
GOOG,2018-12,2981
GOOG,2019-01,2834
GOOG,2019-02,3370
GOOG,2019-03,3451
GOOG,2019-04,4070
GOOG,2019-05,3579
GOOG,2019-06,3900
GOOG,2019-07,3623
GOOG,2019-08,2914
GOOG,2019-09,3142
GOOG,2019-10,3982
GOOG,2019-11,3073
GOOG,2019-12,3042
GOOGL,2015-01,6755
GOOGL,2015-02,5170
GOOGL,2015-03,6694
GOOGL,2015-04,6700
GOOGL,2015-05,6008
GOOGL,2015-06,7698
GOOGL,2015-07,9553
GOOGL,2015-08,8701
GOOGL,2015-09,6346
GOOGL,2015-10,7538
GOOGL,2015-11,4147
GOOGL,2015-12,4965
GOOGL,2016-01,4808
GOOGL,2016-02,6253
GOOGL,2016-03,3649
GOOGL,2016-04,5076
GOOGL,2016-05,4045
GOOGL,2016-06,3934
GOOGL,2016-07,4871
GOOGL,2016-08,4041
GOOGL,2016-09,4435
GOOGL,2016-10,6162
GOOGL,2016-11,4166
GOOGL,2016-12,3173
GOOGL,2017-01,4933
GOOGL,2017-02,3220
GOOGL,2017-03,3935
GOOGL,2017-04,4538
GOOGL,2017-05,5095
GOOGL,2017-06,5741
GOOGL,2017-07,6749
GOOGL,2017-08,5552
GOOGL,2017-09,5076
GOOGL,2017-10,7595
GOOGL,2017-11,4786
GOOGL,2017-12,4761
GOOGL,2018-01,5598
GOOGL,2018-02,5568
GOOGL,2018-03,6279
GOOGL,2018-04,6418
GOOGL,2018-05,5054
GOOGL,2018-06,5654
GOOGL,2018-07,7999
GOOGL,2018-08,6827
GOOGL,2018-09,5556
GOOGL,2018-10,7018
GOOGL,2018-11,4656
GOOGL,2018-12,4335
GOOGL,2019-01,4663
GOOGL,2019-02,5369
GOOGL,2019-03,5513
GOOGL,2019-04,5874
GOOGL,2019-05,5192
GOOGL,2019-06,5762
GOOGL,2019-07,6018
GOOGL,2019-08,4326
GOOGL,2019-09,4044
GOOGL,2019-10,5483
GOOGL,2019-11,3860
GOOGL,2019-12,3634
MSFT,2015-01,5425
MSFT,2015-02,3921
MSFT,2015-03,5163
MSFT,2015-04,6299
MSFT,2015-05,4864
MSFT,2015-06,4729
MSFT,2015-07,5684
MSFT,2015-08,3254
MSFT,2015-09,3529
MSFT,2015-10,6337
MSFT,2015-11,4006
MSFT,2015-12,3760
MSFT,2016-01,5500
MSFT,2016-02,6224
MSFT,2016-03,9489
MSFT,2016-04,7198
MSFT,2016-05,8862
MSFT,2016-06,12781
MSFT,2016-07,10367
MSFT,2016-08,9967
MSFT,2016-09,9226
MSFT,2016-10,11147
MSFT,2016-11,8926
MSFT,2016-12,7797
MSFT,2017-01,8762
MSFT,2017-02,6988
MSFT,2017-03,7960
MSFT,2017-04,8576
MSFT,2017-05,10126
MSFT,2017-06,8677
MSFT,2017-07,10289
MSFT,2017-08,7918
MSFT,2017-09,4948
MSFT,2017-10,5324
MSFT,2017-11,3684
MSFT,2017-12,3996
MSFT,2018-01,5009
MSFT,2018-02,4264
MSFT,2018-03,5363
MSFT,2018-04,5780
MSFT,2018-05,5109
MSFT,2018-06,6076
MSFT,2018-07,5731
MSFT,2018-08,4535
MSFT,2018-09,3590
MSFT,2018-10,5824
MSFT,2018-11,4441
MSFT,2018-12,4259
MSFT,2019-01,5444
MSFT,2019-02,4506
MSFT,2019-03,5099
MSFT,2019-04,5974
MSFT,2019-05,4689
MSFT,2019-06,5094
MSFT,2019-07,6152
MSFT,2019-08,4379
MSFT,2019-09,4809
MSFT,2019-10,7681
MSFT,2019-11,5196
MSFT,2019-12,5004
TSLA,2015-01,7631
TSLA,2015-02,10821
TSLA,2015-03,10683
TSLA,2015-04,10006
TSLA,2015-05,11720
TSLA,2015-06,9434
TSLA,2015-07,9763
TSLA,2015-08,10651
TSLA,2015-09,7930
TSLA,2015-10,9909
TSLA,2015-11,7432
TSLA,2015-12,6099
TSLA,2016-01,6064
TSLA,2016-02,9154
TSLA,2016-03,7759
TSLA,2016-04,12224
TSLA,2016-05,10454
TSLA,2016-06,10614
TSLA,2016-07,10171
TSLA,2016-08,8874
TSLA,2016-09,8437
TSLA,2016-10,9300
TSLA,2016-11,7354
TSLA,2016-12,6622
TSLA,2017-01,8451
TSLA,2017-02,11035
TSLA,2017-03,9002
TSLA,2017-04,14208
TSLA,2017-05,12380
TSLA,2017-06,13568
TSLA,2017-07,15889
TSLA,2017-08,12581
TSLA,2017-09,10506
TSLA,2017-10,13840
TSLA,2017-11,15732
TSLA,2017-12,10226
TSLA,2018-01,10130
TSLA,2018-02,10633
TSLA,2018-03,16165
TSLA,2018-04,20177
TSLA,2018-05,26757
TSLA,2018-06,29265
TSLA,2018-07,34258
TSLA,2018-08,64027
TSLA,2018-09,44125
TSLA,2018-10,45533
TSLA,2018-11,22757
TSLA,2018-12,26402
TSLA,2019-01,31412
TSLA,2019-02,28410
TSLA,2019-03,40729
TSLA,2019-04,45061
TSLA,2019-05,42905
TSLA,2019-06,27712
TSLA,2019-07,28515
TSLA,2019-08,22947
TSLA,2019-09,23037
TSLA,2019-10,31667
TSLA,2019-11,27401
TSLA,2019-12,30319
